TL,Territory Level and Typology,REG_ID,Region,SERIES,SNA Classification,VAR,Indicator,MEAS,Measure,POS,Position,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
2,Large regions (TL2),ITF1,Abruzzo,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,78063,,
2,Large regions (TL2),ITF2,Molise,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,81052,,
2,Large regions (TL2),ITF3,Campania,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,68737,,
2,Large regions (TL2),ITF4,Apulia,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,70625,,
2,Large regions (TL2),ITF5,Basilicata,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,75891,,
2,Large regions (TL2),ITF6,Calabria,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,67201,,
2,Large regions (TL2),ITG1,Sicily,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,74457,,
2,Large regions (TL2),ITG2,Sardinia,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,71645,,
2,Large regions (TL2),ITH1,Province of Bolzano-Bozen,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,92218,,
2,Large regions (TL2),ITH2,Province of Trento,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,101892,,
2,Large regions (TL2),ITH3,Veneto,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,89278,,
2,Large regions (TL2),ITH4,Friuli-Venezia Giulia,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,85912,,
2,Large regions (TL2),ITH5,Emilia-Romagna,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,89260,,
2,Large regions (TL2),ITI1,Tuscany,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,85452,,
